日期,西德州(美元/桶),杜拜(美元/桶),布蘭特(美元/桶)
2023/04/21,77.81,81.51,83.42
2023/04/20,77.22,80.48,83.28
2023/04/19,79.13,82.81,85.05
2023/04/18,80.8,84.86,85.58
2023/04/17,80.88,84.96,85.59
2023/04/14,82.53,86.29,87.57
2023/04/13,82.11,86.63,86.72
2023/04/12,83.21,87.27,88.24
2023/04/11,81.49,85.53,87.29
2023/04/10,79.74,84.4,85.61
2023/04/06,N/A,85.14,86.35
2023/04/05,80.64,84.84,85.71
2023/04/04,80.65,84.83,86.04
2023/04/03,80.35,84.67,85.66
2023/03/31,75.63,80.29,79.55
2023/03/30,74.27,78.54,78.44
2023/03/29,72.9,77.35,77.53
2023/03/28,73.07,78.45,78.3
2023/03/27,72.62,77.69,76.87
2023/03/24,69.02,74.56,73.47
2023/03/23,69.67,75.33,74.51
2023/03/22,70.71,75.74,75.33
2023/03/21,69.4,74.75,74.73
2023/03/20,67.56,73.3,72.48
2023/03/17,66.61,72.66,70.95
2023/03/16,68.15,74.05,73.3
2023/03/15,67.38,73.3,73.75
2023/03/14,71.18,76.87,76.96
2023/03/13,74.68,79.99,80.15
2023/03/10,76.55,81.7,82.19
2023/03/09,75.6,80.27,80.94
2023/03/08,76.56,81.16,81.78
2023/03/07,77.45,81.11,82.89
2023/03/06,80.39,84.39,85.92
2023/03/03,79.62,84.22,85.85
2023/03/02,78.05,82.78,83.72
2023/03/01,77.57,82.32,83.79
2023/02/28,76.88,81.95,83.2
2023/02/27,75.57,81.08,81.23
2023/02/24,76.09,82.05,82.37
2023/02/23,75.16,81.19,82.32
2023/02/22,73.9,79.04,79.44
2023/02/21,76.23,81.13,81.88
2023/02/20,N/A,82.14,82.59
2023/02/17,76.26,85.02,82.08
2023/02/16,78.4,82.54,83.35
2023/02/15,78.52,83.36,84.17
2023/02/14,79.03,83.65,84.58
2023/02/13,80.09,83.92,85.22
2023/02/10,79.69,83.87,85.65
2023/02/09,77.99,81.92,83.06
2023/02/08,78.42,82.47,84.24
2023/02/07,77.12,81.58,83.22
2023/02/06,74.06,78.65,80.67
2023/02/03,73.35,76.88,78.74
2023/02/02,75.82,79.72,80.62
2023/02/01,76.29,80.37,81.89
2023/01/31,78.9,83.22,83.04
2023/01/30,77.92,81.64,84.6
2023/01/27,79.68,83.36,85.09
2023/01/26,80.54,84.39,86.49
2023/01/25,79.68,83.86,85.04
2023/01/24,79.76,83.69,85.42
2023/01/23,81.57,N/A,87.42
2023/01/20,81.22,85.44,86.97
2023/01/19,80.26,83.93,85.34
2023/01/18,79.48,82.04,83.34
2023/01/17,80.2,84.45,85.04
2023/01/16,N/A,81.73,82.52
2023/01/13,79.85,82.29,83.62
2023/01/12,78.27,80.69,82.39
2023/01/11,77.41,79.74,81.63
2023/01/10,75.06,76.16,77.95
2023/01/09,74.64,76.23,77.59
2023/01/06,73.72,74.52,76.34
2023/01/05,73.56,74.88,76.88
2023/01/04,72.77,74.06,75.54
2023/01/03,76.82,77.95,80.57
2022/12/30,80.11,81.17,83.04
2022/12/29,78.38,79.03,80.95
2022/12/28,78.79,79.59,81.54
2022/12/27,79.35,80.93,83.06
2022/12/26,N/A,81.81,N/A
2022/12/23,79.47,80.49,82.43
2022/12/22,77.53,78.11,80.32
2022/12/21,78.07,78.4,80.26
2022/12/20,75.82,76.06,79.15
2022/12/19,74.95,76.2,82.05
2022/12/16,74.09,75.68,80.41
2022/12/15,75.79,76.98,82.59
2022/12/14,77.04,78.25,83.58
2022/12/13,75.34,75.99,80.09
2022/12/12,72.86,73.6,78.26
2022/12/09,70.95,71.24,76.88
2022/12/08,71.2,70.97,76.36
2022/12/07,71.83,71.81,77.22
2022/12/06,74.11,73.84,79.37
2022/12/05,76.73,77.09,83.5
2022/12/02,79.76,79.74,86.45
2022/12/01,80.96,80.74,86.45
2022/11/30,80.38,79.24,85.6
2022/11/29,77.86,78.02,83.68
2022/11/28,77,75.71,82.89
2022/11/25,76.35,77.09,83.27
2022/11/24,N/A,77.28,84.84
2022/11/23,77.88,76.94,85.09
2022/11/22,80.78,80.98,88.61
2022/11/21,79.69,80.59,88.59
2022/11/18,80.02,81.85,89.21
2022/11/17,81.64,84.17,91.16
2022/11/16,85.57,86.34,92.33
2022/11/15,86.82,87.49,94.25
2022/11/14,85.8,87.06,92.98
2022/11/11,89.09,90.47,96.05
2022/11/10,86.47,87.53,93.86
2022/11/09,85.74,86.62,92.75
2022/11/08,88.75,89.12,96.94
2022/11/07,91.75,91.84,99.92
2022/11/04,92.53,93.36,99.61
2022/11/03,88.09,88.03,95.21
2022/11/02,90.01,90.44,96.16
2022/11/01,88.31,90.73,95.35
2022/10/31,86.49,88.77,93.53
2022/10/28,87.8,92.51,95.18
2022/10/27,89.01,93.31,95.11
2022/10/26,89.29,93.5,93.3
2022/10/25,86.83,90.49,91.36
2022/10/24,85.92,90.83,91.81
2022/10/21,85.32,90.97,91.95
2022/10/20,85.87,90.02,91.93
2022/10/19,85.85,88.74,91.77
2022/10/18,83.14,87.16,89.58
2022/10/17,85.85,88.97,91.34
2022/10/14,85.95,89.45,91.99
2022/10/13,89.44,92.38,95.35
2022/10/12,87.68,90.51,92.77
2022/10/11,89.6,92.08,94.68
2022/10/10,91.45,94.65,96.98
2022/10/07,92.92,96.67,99.51
2022/10/06,88.75,93.85,96.08
2022/10/05,88.07,92.26,94.76
2022/10/04,86.72,90.21,93.77
2022/10/03,83.9,87.08,90.59
2022/09/30,79.76,86.89,88.89
2022/09/29,81.63,88.93,89.61
2022/09/28,82.46,88.65,89.47
2022/09/27,78.76,85.69,85.44
2022/09/26,77.02,83.85,82.49
2022/09/23,78.97,86.49,84.83
2022/09/22,83.92,90.87,90.38
2022/09/21,83.28,89.83,90.05
2022/09/20,84.59,90.51,89.87
2022/09/19,86.05,91.17,N/A
2022/09/16,85.47,91.15,89.69
2022/09/15,85.62,89.89,89.1
2022/09/14,88.78,92.91,93.41
2022/09/13,87.74,91.81,92.34
2022/09/12,88.08,92.93,93.65
2022/09/09,87.17,91.46,91.3
2022/09/08,83.94,87.13,87.49
2022/09/07,82.4,86.54,86.49
2022/09/06,87.25,91.68,91.41
2022/09/05,N/A,93.89,94.21
2022/09/02,87.19,90.94,93.35
2022/09/01,86.99,90.18,92.04
2022/08/31,89.99,91.92,96.54
2022/08/30,91.98,99.76,100.1
2022/08/29,97.3,104.25,N/A
2022/08/26,93.53,100.12,100.64
2022/08/25,93.23,99.54,99.22
2022/08/24,95.32,100.37,100.34
2022/08/23,96.21,98.62,99.47
2022/08/22,93.17,95.54,95.29
2022/08/19,93.3,95.46,95.86
2022/08/18,92.95,94.79,96.37
2022/08/17,90.6,90.71,96.57
2022/08/16,88.98,90.12,95.85
2022/08/15,91.99,91.77,96.56
2022/08/12,94.61,95.42,103.53
2022/08/11,96.77,96.63,107.1
2022/08/10,94.43,94.6,104.68
2022/08/09,92.93,93.59,104.08
2022/08/08,93.27,93.72,103.4
2022/08/05,91.52,91.87,100.11
2022/08/04,91.04,90.16,97.48
2022/08/03,93,93.95,102.3
2022/08/02,96.89,96.44,105
2022/08/01,96.34,96.92,105.97
2022/07/29,101.06,104.36,111.5
2022/07/28,98.86,102.94,110.46
2022/07/27,99.78,102.9,110.63
2022/07/26,97.49,100.43,107.69
2022/07/25,99.33,100.23,107.88
2022/07/22,97.61,99.08,107.2
2022/07/21,98.24,99.85,112.69
2022/07/20,104.25,101.93,115.41
2022/07/19,105.92,102.36,114.92
2022/07/18,104.28,101.56,116.67
2022/07/15,99.39,97.13,112.2
2022/07/14,97.59,94.54,108.42
