"出生、死亡統計-月 依 期間, 指標 與 種類"

" "," 出生人數"
" "," 原始值"
"2000M01",24042
"2000M02",22263
"2000M03",26259
"2000M04",22587
"2000M05",25019
"2000M06",22937
"2000M07",24436
"2000M08",25771
"2000M09",26915
"2000M10",28710
"2000M11",28499
"2000M12",27874
"2001M01",23705
"2001M02",21610
"2001M03",22407
"2001M04",20922
"2001M05",21584
"2001M06",19935
"2001M07",20728
"2001M08",22402
"2001M09",18454
"2001M10",25013
"2001M11",22019
"2001M12",21575
"2002M01",20931
"2002M02",17551
"2002M03",20185
"2002M04",20565
"2002M05",20603
"2002M06",18137
"2002M07",21093
"2002M08",20365
"2002M09",20735
"2002M10",23175
"2002M11",21120
"2002M12",23070
"2003M01",19533
"2003M02",17626
"2003M03",19312
"2003M04",18092
"2003M05",17634
"2003M06",17448
"2003M07",19368
"2003M08",17196
"2003M09",19813
"2003M10",20646
"2003M11",18815
"2003M12",21587
"2004M01",16531
"2004M02",17128
"2004M03",18735
"2004M04",17274
"2004M05",16527
"2004M06",16524
"2004M07",16897
"2004M08",17932
"2004M09",18905
"2004M10",19223
"2004M11",20858
"2004M12",19885
"2005M01",17844
"2005M02",14567
"2005M03",18956
"2005M04",15473
"2005M05",17085
"2005M06",15920
"2005M07",16119
"2005M08",17933
"2005M09",17559
"2005M10",17584
"2005M11",18699
"2005M12",18115
"2006M01",16477
"2006M02",16264
"2006M03",17524
"2006M04",15126
"2006M05",16757
"2006M06",16558
"2006M07",16340
"2006M08",17311
"2006M09",16864
"2006M10",18927
"2006M11",18957
"2006M12",17354
"2007M01",18224
"2007M02",13496
"2007M03",18490
"2007M04",15448
"2007M05",16463
"2007M06",14687
"2007M07",16737
"2007M08",18109
"2007M09",14863
"2007M10",19233
"2007M11",19311
"2007M12",19353
"2008M01",18323
"2008M02",16065
"2008M03",16114
"2008M04",15549
"2008M05",15309
"2008M06",14429
"2008M07",16063
"2008M08",14866
"2008M09",16048
"2008M10",18740
"2008M11",20388
"2008M12",16839
"2009M01",13469
"2009M02",17159
"2009M03",20773
"2009M04",10597
"2009M05",12646
"2009M06",16157
"2009M07",16297
"2009M08",14699
"2009M09",16170
