"","time","amount","month"
"1",2000-01-01,24042,1
"2",2000-02-01,22263,2
"3",2000-03-01,26259,3
"4",2000-04-01,22587,4
"5",2000-05-01,25019,5
"6",2000-06-01,22937,6
"7",2000-07-01,24436,7
"8",2000-08-01,25771,8
"9",2000-09-01,26915,9
"10",2000-10-01,28710,10
"11",2000-11-01,28499,11
"12",2000-12-01,27874,12
"13",2001-01-01,23705,1
"14",2001-02-01,21610,2
"15",2001-03-01,22407,3
"16",2001-04-01,20922,4
"17",2001-05-01,21584,5
"18",2001-06-01,19935,6
"19",2001-07-01,20728,7
"20",2001-08-01,22402,8
"21",2001-09-01,18454,9
"22",2001-10-01,25013,10
"23",2001-11-01,22019,11
"24",2001-12-01,21575,12
"25",2002-01-01,20931,1
"26",2002-02-01,17551,2
"27",2002-03-01,20185,3
"28",2002-04-01,20565,4
"29",2002-05-01,20603,5
"30",2002-06-01,18137,6
"31",2002-07-01,21093,7
"32",2002-08-01,20365,8
"33",2002-09-01,20735,9
"34",2002-10-01,23175,10
"35",2002-11-01,21120,11
"36",2002-12-01,23070,12
"37",2003-01-01,19533,1
"38",2003-02-01,17626,2
"39",2003-03-01,19312,3
"40",2003-04-01,18092,4
"41",2003-05-01,17634,5
"42",2003-06-01,17448,6
"43",2003-07-01,19368,7
"44",2003-08-01,17196,8
"45",2003-09-01,19813,9
"46",2003-10-01,20646,10
"47",2003-11-01,18815,11
"48",2003-12-01,21587,12
"49",2004-01-01,16531,1
"50",2004-02-01,17128,2
"51",2004-03-01,18735,3
"52",2004-04-01,17274,4
"53",2004-05-01,16527,5
"54",2004-06-01,16524,6
"55",2004-07-01,16897,7
"56",2004-08-01,17932,8
"57",2004-09-01,18905,9
"58",2004-10-01,19223,10
"59",2004-11-01,20858,11
"60",2004-12-01,19885,12
"61",2005-01-01,17844,1
"62",2005-02-01,14567,2
"63",2005-03-01,18956,3
"64",2005-04-01,15473,4
"65",2005-05-01,17085,5
"66",2005-06-01,15920,6
"67",2005-07-01,16119,7
"68",2005-08-01,17933,8
"69",2005-09-01,17559,9
"70",2005-10-01,17584,10
"71",2005-11-01,18699,11
"72",2005-12-01,18115,12
"73",2006-01-01,16477,1
"74",2006-02-01,16264,2
"75",2006-03-01,17524,3
"76",2006-04-01,15126,4
"77",2006-05-01,16757,5
"78",2006-06-01,16558,6
"79",2006-07-01,16340,7
"80",2006-08-01,17311,8
"81",2006-09-01,16864,9
"82",2006-10-01,18927,10
"83",2006-11-01,18957,11
"84",2006-12-01,17354,12
"85",2007-01-01,18224,1
"86",2007-02-01,13496,2
"87",2007-03-01,18490,3
"88",2007-04-01,15448,4
"89",2007-05-01,16463,5
"90",2007-06-01,14687,6
"91",2007-07-01,16737,7
"92",2007-08-01,18109,8
"93",2007-09-01,14863,9
"94",2007-10-01,19233,10
"95",2007-11-01,19311,11
"96",2007-12-01,19353,12
"97",2008-01-01,18323,1
"98",2008-02-01,16065,2
"99",2008-03-01,16114,3
"100",2008-04-01,15549,4
"101",2008-05-01,15309,5
"102",2008-06-01,14429,6
"103",2008-07-01,16063,7
"104",2008-08-01,14866,8
"105",2008-09-01,16048,9
"106",2008-10-01,18740,10
"107",2008-11-01,20388,11
"108",2008-12-01,16839,12
"109",2009-01-01,13469,1
"110",2009-02-01,17159,2
"111",2009-03-01,20773,3
"112",2009-04-01,10597,4
"113",2009-05-01,12646,5
"114",2009-06-01,16157,6
"115",2009-07-01,16297,7
"116",2009-08-01,14699,8
"117",2009-09-01,16170,9
"118",2009-10-01,17574,10
"119",2009-11-01,17556,11
"120",2009-12-01,18213,12
"121",2010-01-01,15603,1
"122",2010-02-01,12364,2
"123",2010-03-01,15750,3
"124",2010-04-01,13371,4
"125",2010-05-01,12902,5
"126",2010-06-01,12722,6
"127",2010-07-01,12668,7
"128",2010-08-01,13761,8
"129",2010-09-01,13637,9
"130",2010-10-01,13487,10
"131",2010-11-01,15406,11
"132",2010-12-01,15215,12
"133",2011-01-01,14703,1
"134",2011-02-01,12270,2
"135",2011-03-01,17524,3
